,variance,mean,min,max
1552641_s_at,0.43421723484848485,6.481212121212121,4.47,7.6
1552643_at,0.5835808712121214,4.100606060606061,2.63,5.08
1552644_a_at,0.7127835227272727,3.5109090909090908,1.93,4.29
1552646_at,0.45588124999999996,5.69,4.45,6.6
1552648_a_at,0.615899621212121,4.87060606060606,3.28,5.64
1552649_a_at,0.8132988636363636,4.8963636363636365,2.92,5.9
1552651_a_at,1.9463085227272725,5.1509090909090895,2.63,6.6
1552652_at,0.48632178030303025,5.403030303030303,3.82,6.39
1552656_s_at,1.9515104166666668,7.166666666666667,4.2,8.93
1552657_a_at,0.656393371212121,5.579393939393938,4.16,6.77
1552658_a_at,0.5274666666666668,6.563333333333334,5.24,7.58
1552660_a_at,0.7760342803030302,4.53030303030303,3.02,5.63
1552661_at,0.3167882575757576,2.378484848484849,1.31,2.89
1552662_a_at,0.6661484848484847,4.038787878787878,2.67,5.27
1552663_a_at,0.5053854166666666,5.046666666666667,3.65,5.86
1552664_at,0.9188234848484853,4.482121212121213,2.67,5.86
1552665_at,0.36696325757575754,5.371515151515152,4.22,6.19
1552666_a_at,0.7061757575757572,3.6215151515151525,2.14,4.67
1552667_a_at,0.8106028409090911,5.051818181818182,3.37,6.34
1552669_at,0.49308598484848476,4.211212121212121,2.99,5.44
1552670_a_at,0.4786937499999998,4.87,3.18,5.65
1552671_a_at,0.7759683712121214,4.946060606060606,3.35,6.08
1552672_a_at,0.8339422348484847,4.552121212121212,2.75,5.61
1552673_at,0.32057518939393936,2.965757575757576,1.84,3.68
1552674_at,0.29574053030303016,3.0030303030303034,1.9,3.75
1552675_at,0.2657314393939394,2.7557575757575754,1.58,3.28
1552676_at,0.6086767045454549,5.772727272727272,3.92,6.83
1552677_a_at,0.4581897727272728,5.039090909090911,3.87,6.15
1552678_a_at,0.7583068181818183,4.154545454545455,2.48,5.35
1552680_a_at,0.5218147727272727,3.8990909090909085,2.27,4.73
1552682_a_at,0.42475416666666654,4.266666666666666,2.95,5.31
1552684_a_at,0.6820280303030302,4.5230303030303025,2.96,5.64
1552685_a_at,0.6444079545454552,4.802727272727274,3.37,5.69
1552686_at,0.37784431818181835,5.414545454545457,4.11,6.33
1552687_a_at,0.5503142045454543,4.657272727272728,3.09,5.79
1552689_at,0.5081871212121211,5.4739393939393945,4.18,6.31
1552690_a_at,0.5305876893939397,4.412424242424242,2.87,5.31
1552691_at,0.3161439393939395,2.715757575757575,1.73,3.62
1552693_at,0.31801893939393944,3.027575757575758,1.93,3.72
1552694_at,0.2895392045454546,2.7072727272727275,1.71,3.24
1552695_a_at,0.3853933712121212,3.0706060606060603,1.91,3.77
1552696_at,0.43396041666666685,4.283333333333333,2.8,5.19
1552698_at,0.4296734848484849,4.552121212121212,3.3,5.39
1552701_a_at,0.2378945075757576,3.254848484848485,2.28,4.03
1552703_s_at,0.46576553030303025,3.0430303030303034,1.87,4.06
1552705_at,0.3052757575757575,2.4748484848484855,1.5,3.07
1552708_a_at,0.3799734848484848,3.051212121212121,1.89,4.22
1552711_a_at,0.43603977272727257,4.9809090909090905,3.59,5.71
1552712_a_at,0.7847564393939396,4.947575757575759,3.24,5.94
1552713_a_at,0.8851467803030304,4.039696969696969,2.48,5.07
1552714_at,0.43977159090909085,3.2418181818181817,1.8,3.96
1552715_a_at,4.886131249999999,4.43,1.95,8.98
1552716_at,0.39525587121212125,3.513939393939394,2.43,4.71
1552717_s_at,0.6711933712121213,7.5606060606060606,6.16,8.58
1552718_at,0.4417193181818181,3.504545454545454,2.15,4.52
1552719_at,0.3476246212121213,4.820606060606061,3.8,5.78
1552721_a_at,0.3538291666666667,2.943333333333333,1.81,3.69
1552722_at,0.32428087121212124,2.7593939393939384,1.69,3.27
1552724_at,0.5441626893939394,5.202424242424243,3.85,6.24
1552725_s_at,0.7724965909090911,4.41818181818182,2.87,5.61
1552726_at,0.3881342803030304,3.49030303030303,2.19,4.11
1552727_s_at,0.5346250000000001,3.4899999999999998,1.86,4.41
1552729_at,0.7729863636363631,4.936363636363636,3.89,6.64
1552730_at,0.4034746212121212,3.870606060606061,2.68,4.54
1552731_at,0.4504433712121212,3.4906060606060607,2.24,4.33
1552732_at,0.3387374999999999,2.68,1.63,3.49
1552733_at,0.31178352272727283,2.87090909090909,1.8,3.48
1552734_at,0.5832710227272725,3.529090909090909,2.08,4.48
1552735_at,0.3284079545454545,2.7672727272727276,1.65,3.51
1552736_a_at,3.614548863636364,5.176363636363637,2.55,7.49
1552737_s_at,0.6502363636363635,3.2836363636363646,1.88,4.15
1552738_a_at,0.2654585227272728,3.4409090909090905,2.18,4.07
1552739_s_at,0.8074189393939394,5.697575757575758,3.99,7.07
1552740_at,0.3200405303030302,3.2596969696969693,1.8,3.89
1552742_at,0.39966837121212123,3.333939393939394,2.07,4.03
1552743_at,0.5561820075757575,3.3984848484848484,1.98,4.14
1552745_at,0.32796893939393934,3.2257575757575756,2.17,3.88
1552747_a_at,0.48383598484848467,2.8521212121212125,1.61,3.64
1552749_a_at,0.3518354166666668,6.6466666666666665,5.41,7.38
1552750_at,0.8604359848484848,3.7587878787878783,2.11,4.88
1552751_a_at,0.793656439393939,5.547575757575758,3.91,6.76
1552752_a_at,0.6843195075757573,3.855151515151515,2.34,4.77
1552754_a_at,0.3776797348484849,2.8587878787878793,1.71,3.83
1552755_at,0.499993371212121,3.339393939393939,2.09,4.63
1552757_s_at,0.6178189393939396,3.694242424242424,2.31,4.98
1552758_at,0.35741098484848477,3.497878787878788,2.38,4.11
1552760_at,0.555498484848485,3.1578787878787886,1.65,4.17
1552761_at,0.4450926136363635,6.346363636363636,5.16,7.23
1552763_at,0.4082405303030303,2.9369696969696966,1.76,3.59
1552765_x_at,0.3398655303030304,3.0069696969696973,2.05,4.06
1552766_at,0.36415643939393944,3.0357575757575765,1.79,3.8
1552767_a_at,2.387105871212121,6.243939393939392,4.54,8.72
1552768_at,0.5324439393939394,5.8524242424242425,4.24,6.82
1552769_at,0.6817255681818182,4.664545454545455,3.16,6.07
1552770_s_at,0.5083842803030305,3.4803030303030305,2.22,4.68
1552771_a_at,0.5059064393939393,3.2624242424242427,1.84,4.16
1552772_at,0.47558977272727265,3.9509090909090907,2.59,4.83
1552773_at,0.6348183712121213,4.000606060606061,2.51,5.33
1552774_a_at,1.4153937499999998,4.519999999999998,2.47,6.0
1552775_at,0.38172803030303026,4.6130303030303015,3.34,5.79
1552777_a_at,0.6688142045454547,4.092727272727274,2.68,5.23
1552779_a_at,0.7476359848484847,3.262121212121212,1.74,4.12
1552782_at,0.8129488636363639,3.613636363636364,2.03,5.08
1552783_at,0.2922028409090908,2.5181818181818185,1.53,3.33
1552785_at,0.4229751893939395,3.3275757575757576,2.17,3.88
1552787_at,1.147001704545454,3.3527272727272734,1.74,5.35
1552788_a_at,0.6071376893939394,5.304242424242425,3.76,6.15
1552789_at,0.3444854166666666,3.2033333333333327,2.02,4.06
1552790_a_at,0.18903295454545452,3.252727272727274,2.39,3.73
1552791_a_at,0.36879053030303044,2.94030303030303,1.79,3.68
1552792_at,0.5890820075757577,3.6684848484848485,2.39,4.69
1552793_at,0.6132922348484849,3.907878787878788,2.31,4.65
1552794_a_at,0.409429734848485,3.1587878787878796,1.94,3.92
1552796_a_at,0.4969693181818182,3.805454545454545,2.32,4.72
1552797_s_at,0.30920303030303026,2.986969696969697,1.94,4.03
1552798_a_at,0.6443375000000003,4.849999999999999,3.38,5.96
1552799_at,0.6088189393939394,5.007575757575758,3.36,5.89
1552800_at,0.5768064393939392,6.657575757575757,5.08,7.74
1552801_at,0.34942575757575745,3.7184848484848483,2.36,4.37
1552803_a_at,0.6138051136363637,4.123636363636363,2.63,5.06
1552804_a_at,0.3821551136363638,5.393636363636363,4.01,6.03
1552806_a_at,0.984217234848485,4.578787878787879,2.95,6.03
1552807_a_at,0.7100604166666665,5.293333333333333,3.5,6.38
1552808_at,0.33758825757575756,3.0415151515151515,1.94,3.65
1552809_at,0.2817592803030303,3.003030303030303,1.93,3.67
1552811_at,0.7377210227272729,5.3990909090909085,3.61,6.51
1552812_a_at,1.481923484848485,5.74121212121212,3.55,7.19
1552813_at,0.48086098484848483,4.047878787878787,2.73,5.33
